Reviewer,Review Time,Comment
sakuraiin,2022-10-27 16:35:40,"Quality:Good
Durability:Function

Beli unt hadiah anniversary, suami love it.. Satifaction overload, parcel received in good quality and excellent condition and service delivery is very good plus affordable price fast delivery everything good n well packaging love it all recommended seller n ill buy more from this shop next time tqqqqqq"
muslihakasdan,2023-08-06 07:50:47,"Durability:memuaskan
Quality:ok

Terima kasih.sampai sblm tarikh istimewa Nya. Walaupn agak mendebarkan sbb courier tak lambt update delivery.pembungkusan sgt kemas..free bag kertas..😊
Tak perlu bungkus2 lg utk buat hadiah."
e*****a,2022-07-25 13:52:39,"Quality:Bagus
Durability:Macam ok

Beli untuk birthday Ayah. Harini placed order, 2hari kemudian sampai Perak. Mmg terbaik dan laju ya. Kualiti jam nampak outstanding ya. Ayah saya happy sgt! Takde gambar ayah happy kerana  terlalu happy dapat jam menteri😅"
syabab.shop,2022-08-14 09:30:11,Kualiti bagus. Harga cantik.nampak premium.puas hati lah.service pn bagus. Banyak2 barang sy selama ni dri shopee shipping ni la paling laju.dua hari sampai sabah..💕
p*****a,2024-01-02 09:43:15,"Quality:nice

Sangat berquality dan premium banyak freegift buruj bagi alhamdullilah"
mekjenny,2022-12-07 16:16:09,"Quality:good
Durability:good

terima kasih, penghantaran yg sgt cepat, bubble wrap tebal, nak bg sbg hadiah kpd muallim & muallimah"
marniyusuf85,2024-01-19 21:48:35,Penghantaran cepat. Seller responsive. Good job seller. Terbaik.Dibungkus dengan baik juga.
aidiiyismail,2023-12-08 17:49:37,"Penghantaran pantas tiptop✅
Packaging kemas dan tebal✅
Item smua baik sngat berpuas hati✅"
f*****5,2024-01-03 18:02:46,"Durability:okay baru terima.
Quality:bru

Abit sad sbb kotaknya terlukaa. Huhuhu"
nisa2746,2022-12-15 19:27:59,"Quality:sgt bagus

Thank you seller.. Jam sgt cantik dan berkualiti 😊👍"
nuradilahsa,2022-06-25 16:21:03,"Quality:Everything was good! Gonna repeat this item 👍🏻
Durability:Nice

Cantik & mudah sebab ada waktu solat semua hehe"
lynda75,2023-07-30 19:38:41,"Sangat cepat penghantaran kalo mau hadiah urgent
Ble bcg dgn sellerr... Alhamdulillah sampai spt yg diminta.Produk memuaskan SD 2 kali beli ..tq"
norismakls,2022-10-14 19:51:34,"Quality:Terbaik n cantik sgt2
Durability:Alhamdulillah slmt sampai

Hadiah tuk hubby sempena anniversary ke22.. Alhamdulillah dia suka sgt2.. Tqvm seller.. Akk bli ye.. Doakan moga kami kekal bahagia till jannah ye.. Aamiin🥰🥰🥰"
kemetokk,2023-01-05 23:19:52,"Quality:Terbaik 👍👍
Durability:very recommended ❤️❤️

Penghantaran okey ..by the way barang mmg mantapppp!!.. terbaik.. sy beli utk dijadikan hantran"
gelayla,2022-12-30 20:40:08,"Quality:terbaik
Durability:hitam menawan

hitam itu premium..cewahh..cantik sgt set couple ni, x saba dah nk deco kt barang2 hantaran...tq seller 😘😘"
s*****a,2023-05-31 22:21:15,"Quality:great
Durability:Great

This is my 3rd purchase. All work well. Look exclusive. Beli utk hantaran nikah 🫢 Thanks Buruj!"
husna_hazira,2023-07-13 20:57:05,"Quality:good quality
Durability:made from quality material

Need to improve packaging quality  for this special item.."
a*****0,2022-11-24 15:52:27,"Quality:Good qualiti
Durability:Good

Very fast delivery and the item in good condition"
diyannastephenjames,2023-10-03 22:13:30,"Seller trustworthy, fast responding, Alhamdullilah Jujur Dan Amanah. Semoga dipermudahkan segala urusan. ❤"
normalaomar1978,2024-02-02 09:11:44,"Barang sgt cantik..saya beli sepasang..barang pun dibungkus dgn kemas..maaf, tiada gambar..sebabnya brg sampai kat kampung..saya kat negeri lain.."
syahdiatulfx,2023-05-05 19:38:20,"Durability:ok
Quality:ok

One of the box rosak. Takleh bukak fully"
muhdhasanhussin,2022-05-10 21:32:36,Packaging terbaik/kemas & nampak elegant.. Inshallah akan repeat oder lagi..
anismn4890,2024-03-20 17:14:10,"Quality:Sangat cantik dan kelihatan eksklusif

Mudah untuk set waktu solat dan melihat arah kiblat"
darwis84,2022-05-18 11:23:52,Keli kedua beli.. mmg puas hati.. respon penjual pun pantas.. terbaikkkkkkmmm
i*****h,2022-11-21 06:43:19,"Quality:good

Jam sangat cantik, packaging memang nampak premium 👍🏻👍🏻👍🏻"
tikusxpailang,2022-09-01 20:16:48,"Quality:sangat bagus

Penghantaran yg sangat mantapssa"
zullpenang,2022-07-26 09:56:52,"Quality:bagus
Durability:bagus

Jam berfungsi baik dan menarik..."
a*****1,2023-04-21 09:45:49,"Durability:terbaik

puas hati cantik terbaik
bagi hadiah pada boss
tq seller 
pos out pn pantas
maaf gambar xd kaitan"
karkun1967,2022-11-06 23:41:55,"Quality:excellent
Durability:harap2 tahan lama

Cadang supaya TANDA ARAH KIBLAT lebih besar… yg ada terlalu kecil dan mengelirukan"
aripbal._,2023-11-03 23:12:28,"Durability:saya betul betul berpuas hati
Quality:sangat baik"
nuradilahsa,2023-10-27 18:01:20,"Quality:cantikkk best pakai
Durability:function well"
mohamadrosli15,2022-06-27 02:09:26,Pas Rewards 2GB (1AM-7AM) anda telah diaktifkan. Pas anda akan aktif sehingga 01:32  28-06-2022. Dapatkan butiran lanjut di aplikasi Hotlink.
nizammuse,2022-05-12 20:20:04,Alhamdulillah barang dah dapat dengan selamat...  Tq seller
humamdaud,2023-12-13 15:53:11,"Quality:terbaik
Durability:material bagus

Cantik👍👍👍👍👍"
mazlanhjali90,2022-05-10 11:13:46,Terbaik seller n cepat sampai
seiglein,2023-05-05 10:02:34,Received the watches nicely. Thank you seller.
kamalhayabus,2023-11-17 19:16:19,
synoo1,2024-01-26 16:04:42,
qasya95,2022-05-11 11:54:33,Trbaik.
saffyatie,2023-01-31 18:46:53,Quality:good
fakhriahalihassan,2022-09-05 11:46:53,Dpt hadiah ni....terbaik la ..
akmarmahmud76,2023-08-08 19:48:43,
s*****i,2023-01-08 04:08:37,KAT DUNIA NI ADE 2 BENDA JE YG TURUN..1. HUJAN..2. HARGA BAJU KAT BUNDLELEOOOOOOOO ❗❗❗🔥🦁🔥🦁🔥🦁🔥
zulfaqqaruddin,2023-11-07 20:58:54,Brg dah smpi..cun2..smoga penerima happy dpt jam ni..
aida_tamrim,2024-03-15 16:10:35,"Durability:nampak solid
Quality:so good so far

Fast deivery and item receive without damage. Cuma tali kena adjust sbb besar skit"
sitilove_0000,2024-03-06 22:49:29,"Quality:cantik
Durability:bagus buat masa ni cuma kena setting lain"
akmalzuraimy,2024-03-08 19:09:15,"Quality:Terbaik.. original

Setakat ini mmg tak mengecewakan.. terima kasih seller n penghantaran yg laju.."
mefadz79,2022-04-26 13:40:43,
36q7jzwb54,2022-11-16 13:46:52,"Quality:terbaik

Cantik SGT2👍😘😘"
nurazmina9407,2022-12-28 19:15:22,Quality:good
mkafriz,2022-06-16 22:50:37,Quality:terbaikkk
rienadanial_88,2022-10-31 20:35:35,Cantik
nasihahkhairuddin,2023-08-30 07:22:28,Cantik 👍
sharifahiesya,2022-07-24 10:53:48,Terima kasih....comel sngat...
adeline_78,2022-11-15 20:21:20,Quality:suka suka
bahyia,2023-12-04 14:39:36,
mikhamas,2023-10-12 18:42:47,
j*****h,2023-10-31 20:33:02,
nurirdinaazmira,2023-11-30 16:00:23,
sweetssweetie,2023-12-01 14:10:41,
ummie76,2023-12-24 17:56:22,
syimekcyma,2024-01-16 14:16:01,
krulqs,2024-02-15 02:46:08,
aidan8,2024-02-20 22:16:58,
aziahmokti,2024-03-29 12:50:08,
d*****l,2024-03-22 18:11:30,
s*****d,2024-02-13 01:04:59,
galeritudungwanita,2023-12-30 17:59:37,
h*****1,2023-10-13 00:28:43,
azimanmustappa,2024-01-27 13:09:56,
chekina97,2024-01-03 16:41:34,
shukrie94,2024-01-21 20:39:48,
anasfikrifazli,2023-10-21 10:37:23,
ehhdunnolahh,2024-01-31 19:54:14,
feesyazainal,2024-03-12 20:15:49,
a*****p,2024-03-14 02:28:07,
hasni943188,2023-12-14 14:54:23,
mashi2705,2023-11-30 12:59:43,
